id,name,locality,country,region,tier,category,lat,lon,seaTempC,bestMonths,sand,water,swimming,surf,setting,blueFlag,tags,description,url
ksamil-beaches-al,Ksamil Beaches,"Ksamil, Albanian Riviera",AL,Europe,1,tropical,39.766,20.0035,26,Jun-Sep,White sand,"Shallow, clear turquoise","Warm, shallow, calm between the islets",None,"Small offshore islets you can swim to, near ancient Butrint",false,albanian-riviera|islets|turquoise,Turquoise coves and swim-to islets have made Ksamil the star of the fast-rising Albanian Riviera.,https://europebeachmap.com/beaches/ksamil-beaches-al/
dhermi-beach-al,Dhërmi Beach,Albanian Riviera,AL,Europe,2,tropical,40.152,19.64,25,Jun-Sep,White pebbles,Clear turquoise,"Deep and clear, calm in the mornings",None,A long pebble beach below the Ceraunian Mountains and a hillside old village,false,albanian-riviera|turquoise|mountains,"The Albanian Riviera's headline beach — clear turquoise below the Ceraunian Mountains, with beach clubs and a hilltop old village.",https://europebeachmap.com/beaches/dhermi-beach-al/
drymades-beach-al,Drymades Beach,"near Dhërmi, Albanian Riviera",AL,Europe,2,tropical,40.158,19.632,25,Jun-Sep,A long white-pebble and sand beach with beach bars among olive and pine,Clear turquoise Ionian,"Clear and deep-shelving, calm in the mornings",None,"Just north of Dhërmi below the Ceraunian Mountains, a hub of beach clubs and summer nightlife",false,riviera|beach clubs|turquoise|nightlife,Dhërmi's lively neighbour — a long turquoise strand of beach clubs and pines beneath the Ceraunian Mountains.,https://europebeachmap.com/beaches/drymades-beach-al/
durres-beach-al,Durrës Beach,Durrës,AL,Europe,2,resort,41.293,19.446,25,Jun-Sep,Kilometres of wide golden-brown sand lined with hotels,"Warm, shallow, gentle Adriatic","Warm, shallow and calm — Albania's classic family sea",None,"The long resort strip stretching south from the ancient port city of Durrës, Albania's busiest beach",false,resort|family|Adriatic|city beach,"Albania's busiest beach — a long, warm, shallow Adriatic strand of resorts stretching south from the ancient port of Durrës.",https://europebeachmap.com/beaches/durres-beach-al/
gjipe-beach-al,Gjipe Beach,Between Dhermi and Himare,AL,Europe,2,wild,40.1385,19.656,25,Jun-Sep,White pebbles and coarse sand,Deep clear blue,Deep and clear,None,"At the mouth of a dramatic canyon, reached on foot or by boat",false,canyon|secluded|albanian-riviera,"Hidden where a deep canyon meets the Ionian, Gjipe is the wild heart of the Albanian Riviera.",https://europebeachmap.com/beaches/gjipe-beach-al/
porto-palermo-al,Porto Palermo,near Himarë,AL,Europe,2,wild,40.056,19.797,26,Jun-Sep,Small pebble beaches flanking the castle's causeway,"Deep, calm, clear blue in a sheltered double bay",Calm and clear in the sheltered bay around the castle peninsula,None,A dramatic bay south of Himarë where Ali Pasha's stone castle sits on its own peninsula,false,castle|sheltered bay|Ali Pasha|snorkelling,"A sheltered Ionian bay where Ali Pasha's castle guards its own rocky peninsula, with calm clear coves on either side.",https://europebeachmap.com/beaches/porto-palermo-al/
borsh-beach-al,Borsh Beach,"Borsh, Albanian Riviera",AL,Europe,3,tropical,40.058,19.855,26,Jun-Sep,Fine pebbles and sand,Clear blue-green,Clear and calm along a long open strand,None,"The Riviera's longest beach, backed by olive groves beneath a hilltop castle",false,longest|olive groves|quiet,The Albanian Riviera's longest beach — seven quiet kilometres of pebble and clear water beneath olive groves and a castle.,https://europebeachmap.com/beaches/borsh-beach-al/
jale-beach-al,Jale Beach,near Himarë,AL,Europe,3,tropical,40.116,19.663,25,Jun-Sep,White pebbles,Clear turquoise,"Clear, calm and deep-shelving",None,A compact bay between Dhërmi and Himarë with beach bars and camping,false,albanian-riviera|cove|turquoise,"A compact turquoise cove between Dhërmi and Himarë, a favourite of the young Albanian-Riviera crowd.",https://europebeachmap.com/beaches/jale-beach-al/
kakome-beach-al,Kakome Bay,near Sarandë,AL,Europe,3,wild,39.88,19.955,26,Jun-Sep,White pebbles on an undeveloped turquoise bay,"Brilliant, clear turquoise","Deep, clear and calm",None,"A wild, hard-to-reach bay between Sarandë and Himarë, long eyed for development",false,turquoise|wild|secluded|riviera,"A brilliant turquoise bay of white pebbles on the Riviera between Sarandë and Himarë, still wild and undeveloped.",https://europebeachmap.com/beaches/kakome-beach-al/
livadhi-beach-al,Livadhi Beach,Himarë,AL,Europe,3,tropical,40.118,19.72,25,Jun-Sep,A long arc of white pebbles and sand,Clear turquoise-green,"Clear, calm and gently shelving",None,Olive terraces spilling to a broad bay just north of Himarë town,false,olive groves|himarë|turquoise,Himarë's big easy bay — a kilometre of white pebbles and clear turquoise under the olive terraces.,https://europebeachmap.com/beaches/livadhi-beach-al/
palase-beach-al,Palasë Beach,"Palasë, Albanian Riviera",AL,Europe,3,tropical,40.183,19.6,25,Jun-Sep,Long white pebble-sand below the Llogara pass,"Vivid, clear Ionian blue",Clear and deep-shelving; morning calm,None,"The first great beach below the Llogara mountain pass, where paragliders land",false,llogara|paragliders|riviera,Where the Riviera begins — paragliders spiral down from the Llogara pass onto Palasë's white shore.,https://europebeachmap.com/beaches/palase-beach-al/
qeparo-beach-al,Qeparo Beach,near Himarë,AL,Europe,3,tropical,40.028,19.82,26,Jun-Sep,A long curve of pebble and coarse sand below the old stone village,Clear turquoise-blue Ionian,"Clear, calm and gently shelving",None,"Below the hillside old village of Qeparo, between olive groves and the sea south of Himarë",false,old village|olive groves|riviera|quiet,"A long, quiet Riviera beach below Qeparo's hillside stone village, backed by olive groves and clear turquoise water.",https://europebeachmap.com/beaches/qeparo-beach-al/
